id,name,born,birthplace,url,games_year,birth_date,birth_year,birth_month,birth_quarter,age_at_games
149114,Jesse Compher,1 July 1999,"Northbrook, Illinois (USA)",https://www.olympedia.org/athletes/149114,2022,1999-07-01,1999,7,3,22.6
138311,Hannah Brandt,27 November 1993,"Maplewood, Minnesota (USA)",https://www.olympedia.org/athletes/138311,2022,1993-11-27,1993,11,4,28.19
119215,Hilary Knight,12 July 1989,"Palo Alto, California (USA)",https://www.olympedia.org/athletes/119215,2022,1989-07-12,1989,7,3,32.57
138312,Dani Cameranesi,30 June 1995,"Minneapolis, Minnesota (USA)",https://www.olympedia.org/athletes/138312,2022,1995-06-30,1995,6,2,26.6
128729,Alex Carpenter,13 April 1994,"Cambridge, Massachusetts (USA)",https://www.olympedia.org/athletes/128729,2022,1994-04-13,1994,4,2,27.81
128730,Kendall Coyne Schofield,25 May 1992,"Oak Lawn, Illinois (USA)",https://www.olympedia.org/athletes/128730,2022,1992-05-25,1992,5,2,29.7
128733,Amanda Kessel,28 August 1991,"Madison, Wisconsin (USA)",https://www.olympedia.org/athletes/128733,2022,1991-08-28,1991,8,3,30.44
149118,Abbey Murphy,14 April 2002,"Evergreen Park, Illinois (USA)",https://www.olympedia.org/athletes/149118,2022,2002-04-14,2002,4,2,19.81
128737,Lee Stecklein,23 April 1994,"South St. Paul, Minnesota (USA)",https://www.olympedia.org/athletes/128737,2022,1994-04-23,1994,4,2,27.79
138310,Cayla Barnes,7 January 1999,"Eastvale, California (USA)",https://www.olympedia.org/athletes/138310,2022,1999-01-07,1999,1,1,23.08
149117,Caroline Harvey,14 October 2002,"Pelham, New Hampshire (USA)",https://www.olympedia.org/athletes/149117,2022,2002-10-14,2002,10,4,19.31
138315,Megan Keller,1 May 1996,"Farmington, Michigan (USA)",https://www.olympedia.org/athletes/138315,2022,1996-05-01,1996,5,2,25.76
128728,Megan Bozek,27 March 1991,"Arlington Heights, Illinois (USA)",https://www.olympedia.org/athletes/128728,2022,1991-03-27,1991,3,1,30.86
149116,Savannah Harmon,27 October 1995,"Downers Grove, Illinois (USA)",https://www.olympedia.org/athletes/149116,2022,1995-10-27,1995,10,4,26.28
149115,Jincy Dunne,15 May 1997,"O'Fallon, Missouri (USA)",https://www.olympedia.org/athletes/149115,2022,1997-05-15,1997,5,2,24.73
138314,Nicole Hensley,23 June 1994,"Littleton, Colorado (USA)",https://www.olympedia.org/athletes/138314,2022,1994-06-23,1994,6,2,27.62
1800063,Alex Cavallini,3 January 1992,"Downers Grove, Illinois (USA)",https://www.olympedia.org/athletes/1800063,2022,1992-01-03,1992,1,1,30.09
138321,Maddie Rooney,7 July 1997,"Andover, Minnesota (USA)",https://www.olympedia.org/athletes/138321,2022,1997-07-07,1997,7,3,24.58
119429,Chris Mazdzer,26 June 1988,"Pittsfield, Massachusetts (USA)",https://www.olympedia.org/athletes/119429,2022,1988-06-26,1988,6,2,33.61
128755,Tucker West,15 June 1995,"Ridgefield, Connecticut (USA)",https://www.olympedia.org/athletes/128755,2022,1995-06-15,1995,6,2,26.64
149147,Jonathan Gustafson,5 March 1997,"Massena, New York (USA)",https://www.olympedia.org/athletes/149147,2022,1997-03-05,1997,3,1,24.92
149146,Zachary DiGregorio,14 November 2001,"West Medway, Massachusetts (USA)",https://www.olympedia.org/athletes/149146,2022,2001-11-14,2001,11,4,20.22
149148,Sean Hollander,11 February 2000,"Lake Placid, New York (USA)",https://www.olympedia.org/athletes/149148,2022,2000-02-11,2000,2,1,21.98
2302054,Ashley Farquharson,16 March 1999,"Sacramento, California (USA)",https://www.olympedia.org/athletes/2302054,2022,1999-03-16,1999,3,1,22.89
128750,Summer Britcher,21 March 1994,"Baltimore, Maryland (USA)",https://www.olympedia.org/athletes/128750,2022,1994-03-21,1994,3,1,27.88
138347,Emily Sweeney,16 March 1993,"Portland, Maine (USA)",https://www.olympedia.org/athletes/138347,2022,1993-03-16,1993,3,1,28.89
119483,Taylor Fletcher,11 May 1990,"Steamboat Springs, Colorado (USA)",https://www.olympedia.org/athletes/119483,2022,1990-05-11,1990,5,2,31.74
138353,Ben Loomis,9 June 1998,"Eau Claire, Wisconsin (USA)",https://www.olympedia.org/athletes/138353,2022,1998-06-09,1998,6,2,23.66
138352,Jasper Good,10 May 1996,"Steamboat Springs, Colorado (USA)",https://www.olympedia.org/athletes/138352,2022,1996-05-10,1996,5,2,25.74
149150,Jared Shumate,6 March 1999,"Atlanta, Georgia (USA)",https://www.olympedia.org/athletes/149150,2022,1999-03-06,1999,3,1,22.92
149149,Stephan Schumann,14 March 2000,"Salt Lake City, Utah (USA)",https://www.olympedia.org/athletes/149149,2022,2000-03-14,2000,3,1,21.89
1800042,Ryan Pivirotto,14 May 1995,"Ann Arbor, Michigan (USA)",https://www.olympedia.org/athletes/1800042,2022,1995-05-14,1995,5,2,26.73
149170,Andrew Heo,7 March 2001,"Warrington, Bucks County, Pennsylvania (USA)",https://www.olympedia.org/athletes/149170,2022,2001-03-07,2001,3,1,20.91
138383,Maame Biney,28 January 2000,"Accra, Greater Accra (GHA)",https://www.olympedia.org/athletes/138383,2022,2000-01-28,2000,1,1,22.02
149168,Kristen Santos,2 November 1994,"Fairfield, Connecticut (USA)",https://www.olympedia.org/athletes/149168,2022,1994-11-02,1994,11,4,27.26
149169,Corie Stoddard,15 August 2001,"Seattle, Washington (USA)",https://www.olympedia.org/athletes/149169,2022,2001-08-15,2001,8,3,20.47
149167,Julie Letai,23 June 2000,"Medfield, Massachusetts (USA)",https://www.olympedia.org/athletes/149167,2022,2000-06-23,2000,6,2,21.62
149166,Eunice Lee,11 November 2004,"San Diego, California (USA)",https://www.olympedia.org/athletes/149166,2022,2004-11-11,2004,11,4,17.23
149160,Andrew Blaser,8 May 1989,"Meridian, Idaho (USA)",https://www.olympedia.org/athletes/149160,2022,1989-05-08,1989,5,2,32.74
110429,Katie Uhlaender,17 July 1984,"Vail, Colorado (USA)",https://www.olympedia.org/athletes/110429,2022,1984-07-17,1984,7,3,37.55
149159,Kelly Curtis,25 January 1989,"Princeton, New Jersey (USA)",https://www.olympedia.org/athletes/149159,2022,1989-01-25,1989,1,1,33.03
138359,Casey Larson,16 December 1998,"Barrington, Illinois (USA)",https://www.olympedia.org/athletes/138359,2022,1998-12-16,1998,12,4,23.14
138357,Kevin Bickner,23 September 1996,"Lake Forest, Illinois (USA)",https://www.olympedia.org/athletes/138357,2022,1996-09-23,1996,9,3,25.37
149157,Decker Dean,8 August 2000,"Steamboat Springs, Colorado (USA)",https://www.olympedia.org/athletes/149157,2022,2000-08-08,2000,8,3,21.49
149158,Patrick Gasienica,28 November 1998,"McHenry, Illinois (USA)",https://www.olympedia.org/athletes/149158,2022,1998-11-28,1998,11,4,23.19
149180,Anna Hoffmann,28 March 2000,"Madison, Wisconsin (USA)",https://www.olympedia.org/athletes/149180,2022,2000-03-28,2000,3,1,21.86
149156,Cody Winters,20 April 2000,"Steamboat Springs, Colorado (USA)",https://www.olympedia.org/athletes/149156,2022,2000-04-20,2000,4,2,21.79
149153,Robert Burns,11 November 1990,"Mount Shasta, California (USA)",https://www.olympedia.org/athletes/149153,2022,1990-11-11,1990,11,4,31.23
138371,Red Gerard,29 June 2000,"Westlake, Ohio (USA)",https://www.olympedia.org/athletes/138371,2022,2000-06-29,2000,6,2,21.6
