id,games_year,name_from_roster,sport_from_roster
138368,2022,Chris Corning,Snowboarding
149156,2022,Cody Winters,Snowboarding
139945,2022,Courtney Rummel,Snowboarding
139946,2022,Dusty Henricksen,Snowboarding
119570,2022,Faye Gulini,Snowboarding
138373,2022,Hagen Kearney,Snowboarding
138362,2022,Hailey Langland,Snowboarding
2302065,2022,Jake Vedder,Snowboarding
128763,2022,Jamie Anderson,Snowboarding
138364,2022,Julia Marino,Snowboarding
110950,2022,Lindsey Jacobellis,Snowboarding
149155,2022,Lucas Foster,Snowboarding
138365,2022,Maddie Mastro,Snowboarding
138366,2022,Meghan Tierney,Snowboarding
138369,2022,Mick Dierdorff,Snowboarding
119606,2022,Nick Baumgartner,Snowboarding
138371,2022,Red Gerard,Snowboarding
149153,2022,Robert Burns,Snowboarding
149154,2022,Sean FitzSimons,Snowboarding
109860,2022,Shaun White,Snowboarding
149151,2022,Stacy Gaskill,Snowboarding
139954,2022,Tessa Maud,Snowboarding
128772,2022,Ty Gold,Snowboarding
149152,2022,Zoe Kalapos,Snowboarding
2302066,2022,Austin Kleba,Speed Skating
128778,2022,Brittany Bowe,Speed Skating
149164,2022,Casey Dawson,Speed Skating
128783,2022,Emery Lehman,Speed Skating
138378,2022,Erin Jackson,Speed Skating
149163,2022,Ethan Cepuran,Speed Skating
149161,2022,Giorgia Birkeland,Speed Skating
149165,2022,Ian Quinn,Speed Skating
128784,2022,Joey Mantia,Speed Skating
140168,2022,Jordan Stolz,Speed Skating
149162,2022,Kimi Goetz,Speed Skating
138379,2022,Mia Kilburg,Speed Skating
149062,2026,A. J. Hurt,Alpine Skiing
138247,2026,Breezy Johnson,Alpine Skiing
138248,2026,Bryce Bennett,Alpine Skiing
149066,2026,Isabella Wright,Alpine Skiing
128670,2026,Jackie Wiles,Alpine Skiing
2302012,2026,Keely Cashman,Alpine Skiing
157252,2026,Kyle Negomir,Alpine Skiing
101437,2026,Lindsey Vonn,Alpine Skiing
157204,2026,Mary Bocock,Alpine Skiing
128669,2026,Mikaela Shiffrin,Alpine Skiing
149065,2026,Nina O'Brien,Alpine Skiing
149064,2026,Paula Moltzan,Alpine Skiing
2302013,2026,River Radamus,Alpine Skiing
138251,2026,Ryan Cochran-Siegle,Alpine Skiing
157253,2026,Ryder Sarchett,Alpine Skiing
157251,2026,Sam Morse,Alpine Skiing
138808,2026,Campbell Wright,Biathlon
149076,2026,Deedra Irwin,Biathlon
138257,2026,Joanne Reid,Biathlon
157210,2026,Luci Anderson,Biathlon
157211,2026,Margie Freed,Biathlon
157259,2026,Maxime Germain,Biathlon
149078,2026,Paul Schommer,Biathlon
128679,2026,Sean Doherty,Biathlon
157205,2026,Azaria Hill,Bobsleigh
157255,2026,Boone Niederhofer,Bobsleigh
157257,2026,Bryan Sosoo,Bobsleigh
157254,2026,Caleb Furnell,Bobsleigh
157258,2026,Carsten Vissering,Bobsleigh
118644,2026,Elana Meyers Taylor,Bobsleigh
149071,2026,Frankie Del Duca,Bobsleigh
157256,2026,Hunter Powell,Bobsleigh
157208,2026,Jadin O'Brien,Bobsleigh
157206,2026,Jasmine Jones,Bobsleigh
149075,2026,Josh Williamson,Bobsleigh
118672,2026,Kaillie Humphries,Bobsleigh
149069,2026,Kaysha Love,Bobsleigh
149072,2026,Kris Horn,Bobsleigh
149085,2026,Ben Ogden,Cross Country Skiing
149087,2026,Gus Schumacher,Cross Country Skiing
149082,2026,Hailey Swirbul,Cross Country Skiing
2302020,2026,Hunter Wonders,Cross Country Skiing
149086,2026,J. C. Schoonmaker,Cross Country Skiing
128689,2026,Jessie Diggins,Cross Country Skiing
157260,2026,John Steel Hagenbuch,Cross Country Skiing
149079,2026,Julia Kern,Cross Country Skiing
138909,2026,Kendall Kramer,Cross Country Skiing
157212,2026,Lauren Jortberg,Cross Country Skiing
149081,2026,Novie McCabe,Cross Country Skiing
138267,2026,Rosie Brennan,Cross Country Skiing
157213,2026,Sammy Smith,Cross Country Skiing
157261,2026,Zak Ketterson,Cross Country Skiing
157262,2026,Zanden McMullen,Cross Country Skiing
157265,2026,Aidan Oldenburg,Curling
138278,2026,Aileen Geving,Curling
2302023,2026,Ben Richardson,Curling
1800083,2026,Cory Thiesse,Curling
157264,2026,Danny Casper,Curling
2300977,2026,Korey Dropkin,Curling
2302024,2026,Luc Violette,Curling
157266,2026,Rich Ruohonen,Curling
138280,2026,Tabitha Peterson-Lovick,Curling
149089,2026,Tara Peterson,Curling
2300976,2026,Taylor Anderson-Heide,Curling
149110,2026,Alysa Liu,Figure Skating
157223,2026,Amber Glenn,Figure Skating
157281,2026,Andrew Torgashev,Figure Skating
157280,2026,Anthony Ponomarenko,Figure Skating
157221,2026,Christina Carreira,Figure Skating
157279,2026,Danny O'Shea,Figure Skating
157224,2026,Ellie Kam,Figure Skating
157226,2026,Emilea Zingas,Figure Skating
157222,2026,Emily Chan,Figure Skating
119076,2026,Evan Bates,Figure Skating
157277,2026,Ilia Malinin,Figure Skating
157225,2026,Isabeau Levito,Figure Skating
128718,2026,Madison Chock,Figure Skating
157278,2026,Maxim Naumov,Figure Skating
157275,2026,Spencer Howe,Figure Skating
157276,2026,Vadym Kolesnik,Figure Skating
157220,2026,Abby Winterberger,Freestyle Skiing
138294,2026,Alex Ferreira,Freestyle Skiing
138295,2026,Alex Hall,Freestyle Skiing
157218,2026,Avery Krumme,Freestyle Skiing
2302026,2026,Birk Irving,Freestyle Skiing
157271,2026,Charlie Mickel,Freestyle Skiing
149100,2026,Chris Lillis,Freestyle Skiing
157267,2026,Connor Curran,Freestyle Skiing
157270,2026,Derek Krueger,Freestyle Skiing
149105,2026,Dylan Walczyk,Freestyle Skiing
157216,2026,Grace Henderson,Freestyle Skiing
157269,2026,Hunter Hess,Freestyle Skiing
138286,2026,Jaelin Kauf,Freestyle Skiing
149093,2026,Kaila Kuhn,Freestyle Skiing
1805937,2026,Kate Gray,Freestyle Skiing
157273,2026,Konnor Ralph,Freestyle Skiing
157214,2026,Kyra Dossa,Freestyle Skiing
157274,2026,Landon Wendler,Freestyle Skiing
1806313,2026,Liz Lemley,Freestyle Skiing
149099,2026,Mac Forehand,Freestyle Skiing
149092,2026,Marin Hamill,Freestyle Skiing
128711,2026,Nick Goepper,Freestyle Skiing
149102,2026,Nick Page,Freestyle Skiing
149091,2026,Olivia Giaccio,Freestyle Skiing
157268,2026,Quinn Dehlinger,Freestyle Skiing
157215,2026,Rell Harwood,Freestyle Skiing
140320,2026,Riley Jacobs,Freestyle Skiing
157217,2026,Svea Irving,Freestyle Skiing
157219,2026,Tasia Tanner,Freestyle Skiing
138285,2026,Tess Johnson,Freestyle Skiing
157272,2026,Troy Podmilsak,Freestyle Skiing
149098,2026,Winter Vinecki,Freestyle Skiing
149118,2026,Abbey Murphy,Ice Hockey
157231,2026,Aerin Frankel,Ice Hockey
128729,2026,Alex Carpenter,Ice Hockey
157291,2026,Auston Matthews,Ice Hockey
157235,2026,Ava McNaughton,Ice Hockey
157299,2026,Brady Tkachuk,Ice Hockey
157228,2026,Britta Curl-Salemme,Ice Hockey
149129,2026,Brock Faber,Ice Hockey
157294,2026,Brock Nelson,Ice Hockey
149117,2026,Caroline Harvey,Ice Hockey
138310,2026,Cayla Barnes,Ice Hockey
157292,2026,Charlie McAvoy,Ice Hockey
157288,2026,Clayton Keller,Ice Hockey
157286,2026,Connor Hellebuyck,Ice Hockey
157290,2026,Dylan Larkin,Ice Hockey
