athlete_id,games_year,events_entered,medal_count,any_gold,any_silver,any_bronze,any_medal,best_position,sports
149162,2022,2,0,False,False,False,False,7.0,Speed Skating
149163,2022,1,0,False,False,False,False,17.0,Speed Skating
149163,2026,1,0,False,False,False,False,20.0,Speed Skating
149164,2022,1,0,False,False,False,False,28.0,Speed Skating
149164,2026,3,0,False,False,False,False,8.0,Speed Skating
149165,2022,1,0,False,False,False,False,26.0,Speed Skating
149167,2022,1,0,False,False,False,False,21.0,Short Track Speed Skating
149167,2026,2,0,False,False,False,False,16.0,Short Track Speed Skating
149168,2022,3,0,False,False,False,False,4.0,Short Track Speed Skating
149168,2026,3,0,False,False,False,False,9.0,Short Track Speed Skating
149169,2022,3,0,False,False,False,False,7.0,Short Track Speed Skating
149169,2026,3,1,False,False,True,True,3.0,Short Track Speed Skating
149170,2022,2,0,False,False,False,False,7.0,Short Track Speed Skating
149170,2026,2,0,False,False,False,False,11.0,Short Track Speed Skating
149180,2022,1,0,False,False,False,False,37.0,Ski Jumping
149183,2022,2,0,False,False,False,False,,Alpine Skiing
157204,2026,1,0,False,False,False,False,,Alpine Skiing
157210,2026,2,0,False,False,False,False,79.0,Biathlon
157211,2026,2,0,False,False,False,False,21.0,Biathlon
157212,2026,1,0,False,False,False,False,30.0,Cross Country Skiing
157213,2026,1,0,False,False,False,False,19.0,Cross Country Skiing
157214,2026,1,0,False,False,False,False,14.0,Freestyle Skiing
157215,2026,2,0,False,False,False,False,23.0,Freestyle Skiing
157216,2026,2,0,False,False,False,False,14.0,Freestyle Skiing
157217,2026,1,0,False,False,False,False,11.0,Freestyle Skiing
157218,2026,2,0,False,False,False,False,11.0,Freestyle Skiing
157219,2026,1,0,False,False,False,False,11.0,Freestyle Skiing
157220,2026,1,0,False,False,False,False,15.0,Freestyle Skiing
157223,2026,1,0,False,False,False,False,5.0,Figure Skating
157225,2026,1,0,False,False,False,False,12.0,Figure Skating
157241,2026,2,0,False,False,False,False,11.0,Snowboarding
157242,2026,1,0,False,False,False,False,8.0,Snowboarding
157243,2026,2,0,False,False,False,False,25.0,Snowboarding
157244,2026,2,0,False,False,False,False,6.0,Snowboarding
157245,2026,1,0,False,False,False,False,30.0,Snowboarding
157246,2026,1,0,False,False,False,False,15.0,Snowboarding
157247,2026,1,0,False,False,False,False,15.0,Skeleton
157248,2026,1,0,False,False,False,False,9.0,Ski Mountaineering
157249,2026,3,0,False,False,False,False,12.0,Speed Skating
157250,2026,1,0,False,False,False,False,23.0,Short Track Speed Skating
157251,2026,2,0,False,False,False,False,19.0,Alpine Skiing
157252,2026,3,0,False,False,False,False,10.0,Alpine Skiing
157253,2026,1,0,False,False,False,False,25.0,Alpine Skiing
157259,2026,2,0,False,False,False,False,66.0,Biathlon
157260,2026,1,0,False,False,False,False,14.0,Cross Country Skiing
157261,2026,3,0,False,False,False,False,28.0,Cross Country Skiing
157262,2026,2,0,False,False,False,False,32.0,Cross Country Skiing
157267,2026,1,0,False,False,False,False,12.0,Freestyle Skiing
157268,2026,1,0,False,False,False,False,,Freestyle Skiing
157269,2026,1,0,False,False,False,False,10.0,Freestyle Skiing
157270,2026,1,0,False,False,False,False,11.0,Freestyle Skiing
157271,2026,2,0,False,False,False,False,6.0,Freestyle Skiing
157272,2026,2,0,False,False,False,False,4.0,Freestyle Skiing
157273,2026,2,0,False,False,False,False,5.0,Freestyle Skiing
157274,2026,2,0,False,False,False,False,17.0,Freestyle Skiing
157277,2026,1,0,False,False,False,False,8.0,Figure Skating
157278,2026,1,0,False,False,False,False,20.0,Figure Skating
157281,2026,1,0,False,False,False,False,12.0,Figure Skating
157305,2026,1,0,False,False,False,False,15.0,Snowboarding
157306,2026,2,1,False,False,True,True,3.0,Snowboarding
157307,2026,1,0,False,False,False,False,16.0,Snowboarding
157308,2026,2,0,False,False,False,False,19.0,Ski Jumping
157309,2026,1,0,False,False,False,False,20.0,Skeleton
157310,2026,1,0,False,False,False,False,12.0,Skeleton
157311,2026,1,0,False,False,False,False,11.0,Ski Mountaineering
157312,2026,1,0,False,False,False,False,9.0,Speed Skating
157313,2026,2,0,False,False,False,False,19.0,Speed Skating
157314,2026,1,0,False,False,False,False,27.0,Speed Skating
157315,2026,2,0,False,False,False,False,16.0,Short Track Speed Skating
157316,2026,3,0,False,False,False,False,15.0,Short Track Speed Skating
1800042,2022,3,0,False,False,False,False,13.0,Short Track Speed Skating
1805512,2026,1,0,False,False,False,False,10.0,Snowboarding
1805696,2026,2,0,False,False,False,False,20.0,Ski Jumping
1805937,2026,1,0,False,False,False,False,10.0,Freestyle Skiing
1806097,2026,2,0,False,False,False,False,27.0,Ski Jumping
1806313,2026,2,2,True,False,True,True,1.0,Freestyle Skiing
1806403,2026,2,0,False,False,False,False,4.0,Snowboarding
1806639,2026,1,0,False,False,False,False,18.0,Snowboarding
1806837,2026,1,0,False,False,False,False,19.0,Snowboarding
2301021,2026,1,0,False,False,False,False,28.0,Speed Skating
2302012,2022,3,0,False,False,False,False,17.0,Alpine Skiing
2302012,2026,1,0,False,False,False,False,15.0,Alpine Skiing
2302013,2022,2,0,False,False,False,False,4.0,Alpine Skiing
2302013,2026,3,0,False,False,False,False,17.0,Alpine Skiing
2302019,2022,1,0,False,False,False,False,43.0,Cross Country Skiing
2302020,2026,2,0,False,False,False,False,31.0,Cross Country Skiing
2302026,2022,1,0,False,False,False,False,5.0,Freestyle Skiing
2302026,2026,1,0,False,False,False,False,5.0,Freestyle Skiing
2302054,2022,1,0,False,False,False,False,12.0,Luge
2302054,2026,1,1,False,False,True,True,3.0,Luge
2302065,2022,1,0,False,False,False,False,6.0,Snowboarding
2302065,2026,1,0,False,False,False,False,11.0,Snowboarding
2302066,2022,2,0,False,False,False,False,27.0,Speed Skating
