sport,event,athlete_id,athlete,position,medal,is_team_entry,games_year,position_num
Luge,"Singles, Women",2302054,Ashley Farquharson,12,,no,2022,12.0
Luge,"Singles, Women",128750,Summer Britcher,23,,no,2022,23.0
Luge,"Singles, Women",138347,Emily Sweeney,26,,no,2022,26.0
Nordic Combined,"Individual, Men",138353,Ben Loomis,15,,no,2022,15.0
Nordic Combined,"Individual, Men",149150,Jared Shumate,19,,no,2022,19.0
Nordic Combined,"Individual, Men",119483,Taylor Fletcher,24,,no,2022,24.0
Nordic Combined,"Individual, Men",149149,Stephan Schumann,25,,no,2022,25.0
Nordic Combined,"Sprint, Men",149150,Jared Shumate,17,,no,2022,17.0
Nordic Combined,"Sprint, Men",138353,Ben Loomis,19,,no,2022,19.0
Nordic Combined,"Sprint, Men",119483,Taylor Fletcher,23,,no,2022,23.0
Nordic Combined,"Sprint, Men",138352,Jasper Good,34,,no,2022,34.0
Short Track Speed Skating,"500 metres, Men",1800042,Ryan Pivirotto,16,,no,2022,16.0
Short Track Speed Skating,"1,000 metres, Men",149170,Andrew Heo,7,,no,2022,7.0
Short Track Speed Skating,"1,000 metres, Men",1800042,Ryan Pivirotto,13,,no,2022,13.0
Short Track Speed Skating,"1,500 metres, Men",149170,Andrew Heo,28,,no,2022,28.0
Short Track Speed Skating,"1,500 metres, Men",1800042,Ryan Pivirotto,DQ,,no,2022,
Short Track Speed Skating,"500 metres, Women",138383,Maame Biney,13,,no,2022,13.0
Short Track Speed Skating,"500 metres, Women",149168,Kristen Santos,17,,no,2022,17.0
Short Track Speed Skating,"500 metres, Women",149169,Corie Stoddard,32,,no,2022,32.0
Short Track Speed Skating,"1,000 metres, Women",149168,Kristen Santos,4,,no,2022,4.0
Short Track Speed Skating,"1,000 metres, Women",149169,Corie Stoddard,7,,no,2022,7.0
Short Track Speed Skating,"1,000 metres, Women",138383,Maame Biney,9,,no,2022,9.0
Short Track Speed Skating,"1,500 metres, Women",149168,Kristen Santos,9,,no,2022,9.0
Short Track Speed Skating,"1,500 metres, Women",149169,Corie Stoddard,18,,no,2022,18.0
Short Track Speed Skating,"1,500 metres, Women",149167,Julie Letai,21,,no,2022,21.0
Skeleton,"Skeleton, Men",149160,Andrew Blaser,21,,no,2022,21.0
Skeleton,"Skeleton, Women",110429,Katie Uhlaender,6,,no,2022,6.0
Skeleton,"Skeleton, Women",149159,Kelly Curtis,21,,no,2022,21.0
Ski Jumping,"Normal Hill, Individual, Men",138359,Casey Larson,39,,no,2022,39.0
Ski Jumping,"Normal Hill, Individual, Men",138357,Kevin Bickner,43,,no,2022,43.0
Ski Jumping,"Normal Hill, Individual, Men",149157,Decker Dean,44,,no,2022,44.0
Ski Jumping,"Normal Hill, Individual, Men",149158,Patrick Gasienica,49,,no,2022,49.0
Ski Jumping,"Large Hill, Individual, Men",138357,Kevin Bickner,39,,no,2022,39.0
Ski Jumping,"Large Hill, Individual, Men",138359,Casey Larson,43,,no,2022,43.0
Ski Jumping,"Large Hill, Individual, Men",149157,Decker Dean,45,,no,2022,45.0
Ski Jumping,"Large Hill, Individual, Men",149158,Patrick Gasienica,53,,no,2022,53.0
Ski Jumping,"Normal Hill, Individual, Women",149180,Anna Hoffmann,37,,no,2022,37.0
Snowboarding,"Parallel Giant Slalom, Men",149156,Cody Winters,29,,no,2022,29.0
Snowboarding,"Parallel Giant Slalom, Men",149153,Robert Burns,31,,no,2022,31.0
Snowboarding,"Slopestyle, Men",138371,Red Gerard,4,,no,2022,4.0
Snowboarding,"Slopestyle, Men",138368,Chris Corning,6,,no,2022,6.0
Snowboarding,"Slopestyle, Men",149154,Sean FitzSimons,12,,no,2022,12.0
Snowboarding,"Slopestyle, Men",139946,Dusty Henricksen,17,,no,2022,17.0
Snowboarding,"Halfpipe, Men",109860,Shaun White,4,,no,2022,4.0
Snowboarding,"Halfpipe, Men",128772,Ty Gold,5,,no,2022,5.0
Snowboarding,"Halfpipe, Men",138372,Chase Josey,7,,no,2022,7.0
Snowboarding,"Halfpipe, Men",149155,Lucas Foster,17,,no,2022,17.0
Snowboarding,"Cross, Men",2302065,Jake Vedder,6,,no,2022,6.0
Snowboarding,"Cross, Men",119606,Nick Baumgartner,=9,,no,2022,
Snowboarding,"Cross, Men",138369,Mick Dierdorff,=13,,no,2022,
Snowboarding,"Cross, Men",138373,Hagen Kearney,=17,,no,2022,
Snowboarding,"Big Air, Men",138371,Red Gerard,5,,no,2022,5.0
Snowboarding,"Big Air, Men",138368,Chris Corning,7,,no,2022,7.0
Snowboarding,"Big Air, Men",149154,Sean FitzSimons,17,,no,2022,17.0
Snowboarding,"Big Air, Men",139946,Dusty Henricksen,21,,no,2022,21.0
Snowboarding,"Slopestyle, Women",138364,Julia Marino,2,Silver,no,2022,2.0
Snowboarding,"Slopestyle, Women",128763,Jamie Anderson,9,,no,2022,9.0
Snowboarding,"Slopestyle, Women",138362,Hailey Langland,11,,no,2022,11.0
Snowboarding,"Slopestyle, Women",139945,Courtney Rummel,17,,no,2022,17.0
Snowboarding,"Halfpipe, Women",138361,Chloe Kim,1,Gold,no,2022,1.0
Snowboarding,"Halfpipe, Women",138365,Maddie Mastro,13,,no,2022,13.0
Snowboarding,"Halfpipe, Women",139954,Tessa Maud,16,,no,2022,16.0
Snowboarding,"Halfpipe, Women",149152,Zoe Kalapos,17,,no,2022,17.0
Snowboarding,"Cross, Women",110950,Lindsey Jacobellis,1,Gold,no,2022,1.0
Snowboarding,"Cross, Women",149151,Stacy Gaskill,7,,no,2022,7.0
Snowboarding,"Cross, Women",138366,Meghan Tierney,=9,,no,2022,
Snowboarding,"Cross, Women",119570,Faye Gulini,=13,,no,2022,
Snowboarding,"Big Air, Women",138362,Hailey Langland,12,,no,2022,12.0
Snowboarding,"Big Air, Women",128763,Jamie Anderson,15,,no,2022,15.0
Snowboarding,"Big Air, Women",139945,Courtney Rummel,19,,no,2022,19.0
Snowboarding,"Big Air, Women",138364,Julia Marino,DNS,,no,2022,
Speed Skating,"500 metres, Men",140168,Jordan Stolz,13,,no,2022,13.0
Speed Skating,"500 metres, Men",2302066,Austin Kleba,27,,no,2022,27.0
Speed Skating,"1,000 metres, Men",140168,Jordan Stolz,14,,no,2022,14.0
Speed Skating,"1,000 metres, Men",2302066,Austin Kleba,29,,no,2022,29.0
Speed Skating,"1,500 metres, Men",128784,Joey Mantia,6,,no,2022,6.0
Speed Skating,"1,500 metres, Men",128783,Emery Lehman,11,,no,2022,11.0
Speed Skating,"1,500 metres, Men",149164,Casey Dawson,28,,no,2022,28.0
Speed Skating,"5,000 metres, Men",128783,Emery Lehman,16,,no,2022,16.0
Speed Skating,"5,000 metres, Men",149163,Ethan Cepuran,17,,no,2022,17.0
Speed Skating,"Mass Start, Men",128784,Joey Mantia,4,,no,2022,4.0
Speed Skating,"Mass Start, Men",149165,Ian Quinn,26,,no,2022,26.0
Speed Skating,"500 metres, Women",138378,Erin Jackson,1,Gold,no,2022,1.0
Speed Skating,"500 metres, Women",128778,Brittany Bowe,16,,no,2022,16.0
Speed Skating,"500 metres, Women",149162,Kimi Goetz,18,,no,2022,18.0
Speed Skating,"1,000 metres, Women",128778,Brittany Bowe,3,Bronze,no,2022,3.0
Speed Skating,"1,000 metres, Women",149162,Kimi Goetz,7,,no,2022,7.0
Speed Skating,"1,500 metres, Women",128778,Brittany Bowe,10,,no,2022,10.0
Speed Skating,"1,500 metres, Women",138379,Mia Kilburg,20,,no,2022,20.0
Speed Skating,"3,000 metres, Women",138379,Mia Kilburg,19,,no,2022,19.0
Speed Skating,"Mass Start, Women",138379,Mia Kilburg,4,,no,2022,4.0
Speed Skating,"Mass Start, Women",149161,Giorgia Birkeland,12,,no,2022,12.0
Alpine Skiing,"Downhill, Men",157252,Kyle Negomir,10,,no,2026,10.0
Alpine Skiing,"Downhill, Men",138248,Bryce Bennett,13,,no,2026,13.0
Alpine Skiing,"Downhill, Men",138251,Ryan Cochran-Siegle,18,,no,2026,18.0
Alpine Skiing,"Downhill, Men",157251,Sam Morse,19,,no,2026,19.0
Alpine Skiing,"Super G, Men",138251,Ryan Cochran-Siegle,2,Silver,no,2026,2.0
Alpine Skiing,"Super G, Men",157251,Sam Morse,23,,no,2026,23.0
Alpine Skiing,"Super G, Men",157252,Kyle Negomir,26,,no,2026,26.0
Alpine Skiing,"Super G, Men",2302013,River Radamus,DNF,,no,2026,
Alpine Skiing,"Giant Slalom, Men",2302013,River Radamus,17,,no,2026,17.0
Alpine Skiing,"Giant Slalom, Men",157253,Ryder Sarchett,25,,no,2026,25.0
Alpine Skiing,"Giant Slalom, Men",157252,Kyle Negomir,DNF,,no,2026,
Alpine Skiing,"Slalom, Men",2302013,River Radamus,DNF,,no,2026,
Alpine Skiing,"Downhill, Women",138247,Breezy Johnson,1,Gold,no,2026,1.0
Alpine Skiing,"Downhill, Women",128670,Jackie Wiles,=4,,no,2026,
Alpine Skiing,"Downhill, Women",149066,Isabella Wright,21,,no,2026,21.0
Alpine Skiing,"Downhill, Women",101437,Lindsey Vonn,DNF,,no,2026,
Alpine Skiing,"Super G, Women",128670,Jackie Wiles,13,,no,2026,13.0
Alpine Skiing,"Super G, Women",2302012,Keely Cashman,15,,no,2026,15.0
Alpine Skiing,"Super G, Women",138247,Breezy Johnson,DNF,,no,2026,
Alpine Skiing,"Super G, Women",157204,Mary Bocock,DNF,,no,2026,
Alpine Skiing,"Giant Slalom, Women",128669,Mikaela Shiffrin,11,,no,2026,11.0
Alpine Skiing,"Giant Slalom, Women",149064,Paula Moltzan,15,,no,2026,15.0
Alpine Skiing,"Giant Slalom, Women",149065,Nina O'Brien,20,,no,2026,20.0
Alpine Skiing,"Giant Slalom, Women",149062,A. J. Hurt,DNF,,no,2026,
Alpine Skiing,"Slalom, Women",128669,Mikaela Shiffrin,1,Gold,no,2026,1.0
Alpine Skiing,"Slalom, Women",149064,Paula Moltzan,8,,no,2026,8.0
Alpine Skiing,"Slalom, Women",149062,A. J. Hurt,19,,no,2026,19.0
Alpine Skiing,"Slalom, Women",149065,Nina O'Brien,DNF,,no,2026,
Biathlon,"Sprint, Men",138808,Campbell Wright,12,,no,2026,12.0
Biathlon,"Sprint, Men",149078,Paul Schommer,47,,no,2026,47.0
Biathlon,"Sprint, Men",128679,Sean Doherty,65,,no,2026,65.0
Biathlon,"Sprint, Men",157259,Maxime Germain,66,,no,2026,66.0
Biathlon,"Pursuit, Men",138808,Campbell Wright,8,,no,2026,8.0
Biathlon,"Pursuit, Men",149078,Paul Schommer,48,,no,2026,48.0
Biathlon,"Mass Start, Men",138808,Campbell Wright,29,,no,2026,29.0
Biathlon,"Individual, Men",138808,Campbell Wright,27,,no,2026,27.0
Biathlon,"Individual, Men",149078,Paul Schommer,44,,no,2026,44.0
Biathlon,"Individual, Men",157259,Maxime Germain,67,,no,2026,67.0
Biathlon,"Individual, Men",128679,Sean Doherty,80,,no,2026,80.0
Biathlon,"Sprint, Women",149076,Deedra Irwin,47,,no,2026,47.0
Biathlon,"Sprint, Women",157211,Margie Freed,66,,no,2026,66.0
Biathlon,"Sprint, Women",138257,Joanne Reid,72,,no,2026,72.0
Biathlon,"Sprint, Women",157210,Luci Anderson,79,,no,2026,79.0
Biathlon,"Pursuit, Women",149076,Deedra Irwin,35,,no,2026,35.0
Biathlon,"Individual, Women",157211,Margie Freed,21,,no,2026,21.0
Biathlon,"Individual, Women",149076,Deedra Irwin,34,,no,2026,34.0
Biathlon,"Individual, Women",138257,Joanne Reid,68,,no,2026,68.0
Biathlon,"Individual, Women",157210,Luci Anderson,84,,no,2026,84.0
Bobsleigh,"Monobob, Women",118644,Elana Meyers Taylor,1,Gold,no,2026,1.0
