sport,event,athlete_id,athlete,position,medal,is_team_entry
Speed Skating,"5,000 metres, Men",149164,Casey Dawson,8,,no
Speed Skating,"10,000 metres, Men",149164,Casey Dawson,DNS,,no
Speed Skating,"Mass Start, Men",140168,Jordan Stolz,4,,no
Speed Skating,"Mass Start, Men",149163,Ethan Cepuran,20,,no
Speed Skating,"500 metres, Women",138378,Erin Jackson,5,,no
Speed Skating,"500 metres, Women",2301021,Sarah Warren,28,,no
Speed Skating,"1,000 metres, Women",128778,Brittany Bowe,4,,no
Speed Skating,"1,000 metres, Women",138378,Erin Jackson,6,,no
Speed Skating,"1,500 metres, Women",128778,Brittany Bowe,4,,no
Speed Skating,"1,500 metres, Women",157249,Greta Myers,29,,no
Speed Skating,"3,000 metres, Women",157249,Greta Myers,20,,no
Speed Skating,"Mass Start, Women",138379,Mia Manganello,3,Bronze,no
Speed Skating,"Mass Start, Women",157249,Greta Myers,12,,no
