id,name,born,birthplace,url
157288,Clayton Keller,29 July 1998,"Chesterfield, Missouri (USA)",https://www.olympedia.org/athletes/157288
157289,Jackson LaCombe,9 January 2001,"Eden Prairie, Minnesota (USA)",https://www.olympedia.org/athletes/157289
157302,Zach Werenski,19 July 1997,"Grosse Pointe, Michigan (USA)",https://www.olympedia.org/athletes/157302
149129,Brock Faber,22 August 2002,"Maple Grove, Minnesota (USA)",https://www.olympedia.org/athletes/149129
157285,Noah Hanifin,25 January 1997,"Boston, Massachusetts (USA)",https://www.olympedia.org/athletes/157285
157292,Charlie McAvoy,21 December 1997,"Long Beach, New York (USA)",https://www.olympedia.org/athletes/157292
157287,Quinn Hughes,14 October 1999,"Orlando, Florida (USA)",https://www.olympedia.org/athletes/157287
157296,Jaccob Slavin,1 May 1994,"Erie, Colorado (USA)",https://www.olympedia.org/athletes/157296
149142,Jake Sanderson,8 July 2002,"Whitefish, Montana (USA)",https://www.olympedia.org/athletes/149142
157297,Jeremy Swayman,24 November 1998,"Anchorage, Alaska (USA)",https://www.olympedia.org/athletes/157297
157295,Jake Oettinger,18 December 1998,"Lakeville, Minnesota (USA)",https://www.olympedia.org/athletes/157295
157286,Connor Hellebuyck,19 May 1993,"Commerce Township, Michigan (USA)",https://www.olympedia.org/athletes/157286
157237,Kirsten Simms,31 August 2004,"Plymouth, Michigan (USA)",https://www.olympedia.org/athletes/157237
138317,Kelly Pannek,29 December 1995,"Minneapolis, Minnesota (USA)",https://www.olympedia.org/athletes/138317
149121,Grace Zumwinkle,23 April 1999,"Minneapolis, Minnesota (USA)",https://www.olympedia.org/athletes/149121
149120,Hayley Scamurra,14 December 1994,"Williamsville, New York (USA)",https://www.olympedia.org/athletes/149120
157228,Britta Curl-Salemme,20 March 2000,"Bismarck, North Dakota (USA)",https://www.olympedia.org/athletes/157228
119215,Hilary Knight,12 July 1989,"Palo Alto, California (USA)",https://www.olympedia.org/athletes/119215
157234,Tessa Janecke,12 May 2004,"Orangeville, Illinois (USA)",https://www.olympedia.org/athletes/157234
157227,Hannah Bilka,24 March 2001,"Coppell, Texas (USA)",https://www.olympedia.org/athletes/157227
