id,name,games_year,birth_date,birth_year,birth_month,birth_quarter,age_at_games,birthplace,sports,events_entered,medal_count,any_medal,any_gold,any_silver,any_bronze,best_position,has_individual_results
138352,Jasper Good,2022,1996-05-10,1996,5,2,25.74,"Steamboat Springs, Colorado (USA)",Nordic Combined,1,0,False,False,False,False,34.0,True
149111,Jean-Luc Baker,2022,1993-10-07,1993,10,4,28.33,"Burnley, England (GBR)",Figure Skating,0,0,False,False,False,False,,False
149114,Jesse Compher,2022,1999-07-01,1999,7,3,22.6,"Northbrook, Illinois (USA)",Ice Hockey,0,0,False,False,False,False,,False
128689,Jessie Diggins,2022,1991-08-26,1991,8,3,30.44,"Minneapolis, Minnesota (USA)",Cross Country Skiing,4,2,True,False,True,True,2.0,True
149115,Jincy Dunne,2022,1997-05-15,1997,5,2,24.73,"O'Fallon, Missouri (USA)",Ice Hockey,0,0,False,False,False,False,,False
138257,Joanne Reid,2022,1992-06-28,1992,6,2,29.6,"Madison, Wisconsin (USA)",Biathlon,3,0,False,False,False,False,29.0,True
128784,Joey Mantia,2022,1986-02-07,1986,2,1,35.99,"Ocala, Florida (USA)",Speed Skating,2,0,False,False,False,False,4.0,True
128695,John Landsteiner,2022,1990-05-19,1990,5,2,31.72,"Mankato, Minnesota (USA)",Curling,0,0,False,False,False,False,,False
110160,John Shuster,2022,1982-11-03,1982,11,4,39.26,"Chisholm, Minnesota (USA)",Curling,0,0,False,False,False,False,,False
149147,Jonathan Gustafson,2022,1997-03-05,1997,3,1,24.92,"Massena, New York (USA)",Luge,1,0,False,False,False,False,19.0,True
140168,Jordan Stolz,2022,2004-05-21,2004,5,2,17.71,"West Bend, Wisconsin (USA)",Speed Skating,2,0,False,False,False,False,13.0,True
149075,Josh Williamson,2022,1996-08-29,1996,8,3,25.43,"Sanford, Florida (USA)",Bobsleigh,0,0,False,False,False,False,,False
149079,Julia Kern,2022,1997-09-12,1997,9,3,24.4,"Berkeley, California (USA)",Cross Country Skiing,2,0,False,False,False,False,18.0,True
